sequence,original_filename,new_filename,description,html_alt_text
11,"Screenshot from 2026-08-15 13-27-05.png",qgis_11_route_type_categorized_symbology_setup.png,"Simplified routes are classified by numeric route_type values using categorized symbology.","QGIS categorized symbology listing route type values 1 through 4 with different line colors"
12,"Screenshot from 2026-08-15 13-38-50.png",qgis_12_categorized_transit_modes_with_dense_stops.png,"The map verifies named SkyTrain West Coast Express bus and SeaBus categories beneath dense stops.","QGIS map with categorized transit modes beneath a dense overlay of purple stop points"
13,"Screenshot from 2026-08-15 13-46-25.png",qgis_13_stop_location_type_categorized_symbology.png,"Transit stops are categorized by GTFS location_type values 0 1 and 2.","QGIS transit stop symbology categorized by location type values zero one and two"
14,"Screenshot from 2026-08-15 13-49-41.png",qgis_14_station_location_type_query_builder_filter.png,"Query Builder filters the Transit Stations layer to location_type value 1.","QGIS Query Builder for Transit Stations with a filter where location type equals one"
15,"Screenshot from 2026-08-15 13-57-22.png",qgis_15_layer_scale_dependent_visibility_setup.png,"An unidentified point layer is configured with scale-dependent visibility at a 1 to 40000 threshold.","QGIS Rendering tab with scale dependent visibility enabled at a 1 to 40000 threshold"
16,"Screenshot from 2026-08-15 14-00-15.png",qgis_16_filtered_station_stop_and_entrance_layers_map.png,"The regional result separates filtered station stop and entrance layers and reduces point clutter.","QGIS map with separate Transit Stations Transit Stops and Transit Entrances layers over categorized routes"
17,"Screenshot from 2026-08-15 14-04-08.png",qgis_17_transit_station_marker_symbol_settings.png,"A white station marker with dark outline is configured using the Simple Marker symbol.","QGIS Simple Marker settings with a white fill dark outline and 2.2 millimeter size"
18,"Screenshot from 2026-08-15 14-06-13.png",qgis_18_transit_routes_stations_stops_and_entrances_map.png,"The map shows routes stations stops and entrances after point-marker styling.","QGIS map of Metro Vancouver transit routes with circular station stop and entrance markers"
19,"Screenshot from 2026-08-15 14-11-14.png",qgis_19_gtfs_rail_wce_and_seabus_route_inspection.png,"Terminal tables identify the three SkyTrain lines West Coast Express and SeaBus from GTFS route types.","Terminal tables listing Canada Millennium and Expo lines West Coast Express and SeaBus route identifiers"
20,"Screenshot from 2026-08-15 14-11-31.png",qgis_20_gtfs_rapidbus_and_night_service_inspection.png,"Terminal output identifies RapidBus candidates R1 through R6 and begins the N-prefix night-service list.","Terminal output listing RapidBus routes R1 through R6 followed by the start of night services"
21,"Screenshot from 2026-08-15 14-11-42.png",qgis_21_gtfs_nightbus_and_express_service_inspection.png,"Terminal output completes the night-route list and begins the express-service routes.","Terminal tables listing ten N-prefix night routes and the first express bus services"
22,"Screenshot from 2026-08-15 14-11-48.png",qgis_22_gtfs_express_bline_bike_and_school_services.png,"Terminal output lists express routes the 99 B-Line Bike Bus and school-special services.","Terminal output listing express buses Broadway B-Line Bike Bus and school-special routes"
23,"Screenshot from 2026-08-15 14-17-52.png",qgis_23_west_coast_express_route_id_rule.png,"The Edit Rule dialog targets West Coast Express route_id 6770 with a dedicated line symbol.","QGIS Edit Rule dialog filtering route ID 6770 for West Coast Express styling"
24,"Screenshot from 2026-08-15 14-18-39.png",qgis_24_route_type_and_individual_route_id_rules.png,"Rule-based symbology combines broad route-type rules with individual rail and marine route IDs.","QGIS rule list for route types and individual Expo Millennium Canada Line West Coast Express and SeaBus IDs"
25,"Screenshot from 2026-08-15 14-20-00.png",qgis_25_rapidbus_nightbus_and_other_bus_exclusion_rule.png,"The expanded route rule hierarchy adds RapidBus NightBus 99 B-Line and a residual bus exclusion expression.","QGIS rule hierarchy showing RapidBus NightBus 99 B-Line and an exclusion rule for remaining buses"
26,"Screenshot from 2026-08-15 14-21-27.png",qgis_26_expo_line_route_color_edit.png,"The color editor changes route_id 30053 for the Expo Line toward blue hexadecimal color 1565C0.","QGIS color editor for Expo Line route ID 30053 with blue hexadecimal color 1565C0 entered"
27,"Screenshot from 2026-08-15 14-27-50.png",qgis_27_detailed_route_rule_palette_with_99_bline.png,"The detailed rule palette shows colored rail marine RapidBus NightBus 99 B-Line and residual bus rules.","QGIS detailed transit route palette with the 99 B-Line rule selected among rail marine and bus rules"
28,"Screenshot from 2026-08-15 14-31-30.png",qgis_28_save_route_style_qml_relative_path.png,"The Save Layer Style dialog proposes a repository-relative path for transit_routes_detailed.qml.","QGIS Save Layer Style dialog using a relative repository path for transit routes detailed QML"
29,"Screenshot from 2026-08-15 14-32-11.png",qgis_29_complete_rule_based_route_symbology_overview.png,"A clean overview shows the completed rule-based hierarchy for all transit route groups.","QGIS showing the complete enabled rule hierarchy for transit route types special IDs RapidBus NightBus and other buses"
30,"Screenshot from 2026-08-15 14-34-49.png",qgis_30_special_bus_rules_and_residual_exclusions.png,"A scrolled detail focuses on RapidBus 99 B-Line NightBus and the remaining-bus exclusion filter.","QGIS scrolled rule list focused on RapidBus 99 B-Line NightBus and residual bus exclusions"
31,"Screenshot from 2026-08-15 14-35-28.png",qgis_31_styled_metro_vancouver_transit_network_map.png,"The completed rule-based transit network is rendered over OpenStreetMap.","QGIS map of Metro Vancouver with colored rapid transit selected bus routes and station markers"
32,"Screenshot from 2026-08-15 14-36-45.png",qgis_32_save_route_style_qml_absolute_path.png,"The Save Layer Style dialog uses the full repository path for transit_routes_detailed.qml.","QGIS Save Layer Style dialog with the absolute repository path for transit routes detailed QML"
33,"Screenshot from 2026-08-15 14-40-37.png",qgis_33_final_rapidbus_nightbus_and_other_bus_rules.png,"The final lower rule list displays individual transit IDs RapidBus 99 B-Line NightBus and other buses.","QGIS final rule based symbology showing route IDs RapidBus 99 B-Line NightBus and the remaining bus category"
34,"Screenshot from 2026-08-15 14-43-34.png",qgis_34_station_stop_name_label_text_settings.png,"Transit Stations labels use stop_name with 10-point Open Sans text.","QGIS Transit Stations label text settings using the stop name field and 10 point Open Sans"
35,"Screenshot from 2026-08-15 14-46-07.png",qgis_35_station_layer_scale_dependent_rendering.png,"Transit Stations layer rendering enables an unusually broad scale-dependent visibility range.","QGIS Transit Stations Rendering tab with scale dependent visibility enabled"
36,"Screenshot from 2026-08-15 14-47-58.png",qgis_36_station_label_visibility_and_fallback_settings.png,"Station-label rendering controls scale visibility z-index fallback placement and upside-down labels.","QGIS station label rendering settings for visibility z index fallback placement and upside down labels"
37,"Screenshot from 2026-08-15 14-54-45.png",qgis_37_plugin_manager_all_plugins_view.png,"The QGIS Plugin Manager opens on the unfiltered list of available plugins.","QGIS Plugin Manager showing the All category and an alphabetical plugin list"
38,"Screenshot from 2026-08-15 14-56-21.png",qgis_38_qgis2web_plugin_installed_version.png,"The Plugin Manager confirms qgis2web version 4.3.2 is installed.","QGIS Plugin Manager showing qgis2web installed at version 4.3.2"
39,"Screenshot from 2026-08-15 15-01-23.png",qgis_39_qgis2web_leaflet_export_settings_and_preview_warning.png,"qgis2web is configured for a minified Leaflet folder export while preview is unavailable.","qgis2web Export tab configured for Leaflet with minified GeoJSON and a preview browser warning"
40,"Screenshot from 2026-08-15 15-01-33.png",qgis_40_qgis2web_export_folder_selection.png,"The folder chooser targets the project qgis2web-test export directory.","Folder chooser positioned at the qgis2web test directory under the GIS Learning project"
41,"Screenshot from 2026-08-15 15-05-18.png",qgis_41_qgis2web_appearance_scale_and_zoom_settings.png,"The Appearance tab sets canvas extent and Leaflet zoom levels from 1 through 28.","qgis2web Appearance tab with canvas extent and Leaflet zoom levels one through twenty eight"
42,"Screenshot from 2026-08-15 15-05-54.png",qgis_42_qgis2web_station_popup_field_settings.png,"Layers and Groups enables Transit Stations popups while clustering remains disabled.","qgis2web layer settings with Transit Stations and popups enabled and clustering disabled"
43,"Screenshot from 2026-08-15 15-06-04.png",qgis_43_qgis2web_route_popup_fields_and_osm_basemap.png,"Route popup fields use no labels and OpenStreetMap is enabled as the visible basemap.","qgis2web settings showing route popup fields set to no label and OpenStreetMap enabled as basemap"
44,"Screenshot from 2026-08-15 15-08-47.png",qgis_44_qgis2web_layers_list_attribute_options.png,"The Appearance tab exposes candidate stop and route attributes for the Layers list control.","qgis2web Appearance tab with the Layers list dropdown showing stop and route attribute options"
45,"Screenshot from 2026-08-15 15-08-51.png",qgis_45_qgis2web_search_hover_widget_and_extent_settings.png,"Search and hover tools are disabled while canvas-size widgets and canvas extent are retained.","qgis2web Appearance settings with search and hover tools disabled and canvas extent selected"
46,"Screenshot from 2026-08-15 15-08-54.png",qgis_46_qgis2web_final_canvas_extent_and_zoom_levels.png,"A final Appearance view confirms canvas extent and zoom limits of 1 and 28.","qgis2web final Appearance settings confirming canvas extent and zoom limits one and twenty eight"
47,"Screenshot from 2026-08-15 15-11-38.png",qgis_47_file_url_openstreetmap_403_referer_error.png,"The exported Leaflet map opened through file URL receives repeated OpenStreetMap 403 Referer errors.","Leaflet transit map covered by OpenStreetMap 403 access blocked tiles requiring a Referer"
48,"Screenshot from 2026-08-15 15-15-38.png",qgis_48_localhost_leaflet_transit_map_success.png,"The qgis2web Leaflet map works on localhost with OpenStreetMap tiles routes stations and legend.","Working localhost Leaflet map of Metro Vancouver with OpenStreetMap transit routes station markers and legend"
